episode,total_reward,final_U,final_quality,total_cost,num_steps,retrieve_count,reason_count,terminated
0,-1.9558581800212431,1.0,0.9241418199787566,1.7999999999999998,10,9,0,True
1,-1.3158581800212432,1.0,0.9241418199787566,1.4,8,7,0,True
2,-2.2758581800212427,1.0,0.9241418199787566,1.9999999999999998,11,10,0,True
3,-2.9158581800212433,1.0,0.9241418199787566,2.4,13,12,0,True
4,-1.9558581800212431,1.0,0.9241418199787566,1.7999999999999998,10,9,0,True
5,-1.635858180021243,1.0,0.9241418199787566,1.5999999999999999,9,8,0,True
6,-1.9558581800212431,1.0,0.9241418199787566,1.7999999999999998,10,9,0,True
7,-2.595858180021243,1.0,0.9241418199787566,2.1999999999999997,12,11,0,True
8,-1.635858180021243,1.0,0.9241418199787566,1.5999999999999999,9,8,0,True
9,-1.9558581800212431,1.0,0.9241418199787566,1.7999999999999998,10,9,0,True
10,-2.9158581800212433,1.0,0.9241418199787566,2.4,13,12,0,True
11,-1.9558581800212431,1.0,0.9241418199787566,1.7999999999999998,10,9,0,True
12,-2.595858180021243,1.0,0.9241418199787566,2.1999999999999997,12,11,0,True
13,-2.9158581800212433,1.0,0.9241418199787566,2.4,13,12,0,True
14,-2.2758581800212427,1.0,0.9241418199787566,1.9999999999999998,11,10,0,True
15,-1.9558581800212431,1.0,0.9241418199787566,1.7999999999999998,10,9,0,True
16,-1.3158581800212432,1.0,0.9241418199787566,1.4,8,7,0,True
17,-2.2758581800212427,1.0,0.9241418199787566,1.9999999999999998,11,10,0,True
18,-2.2758581800212427,1.0,0.9241418199787566,1.9999999999999998,11,10,0,True
19,-1.9558581800212431,1.0,0.9241418199787566,1.7999999999999998,10,9,0,True
20,-3.555858180021244,1.0,0.9241418199787566,2.8000000000000003,15,14,0,True
21,-1.9558581800212431,1.0,0.9241418199787566,1.7999999999999998,10,9,0,True
22,-2.9158581800212433,1.0,0.9241418199787566,2.4,13,12,0,True
23,-1.9558581800212431,1.0,0.9241418199787566,1.7999999999999998,10,9,0,True
24,-1.635858180021243,1.0,0.9241418199787566,1.5999999999999999,9,8,0,True
25,-2.2758581800212427,1.0,0.9241418199787566,1.9999999999999998,11,10,0,True
26,-3.555858180021244,1.0,0.9241418199787566,2.8000000000000003,15,14,0,True
27,-2.2758581800212427,1.0,0.9241418199787566,1.9999999999999998,11,10,0,True
28,-1.635858180021243,1.0,0.9241418199787566,1.5999999999999999,9,8,0,True
29,-2.595858180021243,1.0,0.9241418199787566,2.1999999999999997,12,11,0,True
30,-2.2758581800212427,1.0,0.9241418199787566,1.9999999999999998,11,10,0,True
31,-3.2358581800212436,1.0,0.9241418199787566,2.6,14,13,0,True
32,-5.795858180021245,1.0,0.9241418199787566,4.200000000000001,22,21,0,True
33,-2.2758581800212427,1.0,0.9241418199787566,1.9999999999999998,11,10,0,True
34,-2.9158581800212433,1.0,0.9241418199787566,2.4,13,12,0,True
35,-1.9558581800212431,1.0,0.9241418199787566,1.7999999999999998,10,9,0,True
36,-2.595858180021243,1.0,0.9241418199787566,2.1999999999999997,12,11,0,True
37,-1.635858180021243,1.0,0.9241418199787566,1.5999999999999999,9,8,0,True
38,-1.635858180021243,1.0,0.9241418199787566,1.5999999999999999,9,8,0,True
39,-1.9558581800212431,1.0,0.9241418199787566,1.7999999999999998,10,9,0,True
40,-1.9558581800212431,1.0,0.9241418199787566,1.7999999999999998,10,9,0,True
41,-1.635858180021243,1.0,0.9241418199787566,1.5999999999999999,9,8,0,True
42,-1.9558581800212431,1.0,0.9241418199787566,1.7999999999999998,10,9,0,True
43,-3.2358581800212436,1.0,0.9241418199787566,2.6,14,13,0,True
44,-2.9158581800212433,1.0,0.9241418199787566,2.4,13,12,0,True
45,-1.3158581800212432,1.0,0.9241418199787566,1.4,8,7,0,True
46,-1.635858180021243,1.0,0.9241418199787566,1.5999999999999999,9,8,0,True
47,-2.2758581800212427,1.0,0.9241418199787566,1.9999999999999998,11,10,0,True
48,-2.595858180021243,1.0,0.9241418199787566,2.1999999999999997,12,11,0,True
49,-1.3158581800212432,1.0,0.9241418199787566,1.4,8,7,0,True
50,-1.3158581800212432,1.0,0.9241418199787566,1.4,8,7,0,True
51,-2.2758581800212427,1.0,0.9241418199787566,1.9999999999999998,11,10,0,True
52,-2.595858180021243,1.0,0.9241418199787566,2.1999999999999997,12,11,0,True
53,-1.635858180021243,1.0,0.9241418199787566,1.5999999999999999,9,8,0,True
54,-2.595858180021243,1.0,0.9241418199787566,2.1999999999999997,12,11,0,True
55,-2.9158581800212433,1.0,0.9241418199787566,2.4,13,12,0,True
56,-2.9158581800212433,1.0,0.9241418199787566,2.4,13,12,0,True
57,-3.555858180021244,1.0,0.9241418199787566,2.8000000000000003,15,14,0,True
58,-1.9558581800212431,1.0,0.9241418199787566,1.7999999999999998,10,9,0,True
59,-2.9158581800212433,1.0,0.9241418199787566,2.4,13,12,0,True
60,-1.635858180021243,1.0,0.9241418199787566,1.5999999999999999,9,8,0,True
61,-1.9558581800212431,1.0,0.9241418199787566,1.7999999999999998,10,9,0,True
62,-2.2758581800212427,1.0,0.9241418199787566,1.9999999999999998,11,10,0,True
63,-1.635858180021243,1.0,0.9241418199787566,1.5999999999999999,9,8,0,True
64,-1.9558581800212431,1.0,0.9241418199787566,1.7999999999999998,10,9,0,True
65,-1.9558581800212431,1.0,0.9241418199787566,1.7999999999999998,10,9,0,True
66,-2.2758581800212427,1.0,0.9241418199787566,1.9999999999999998,11,10,0,True
67,-2.595858180021243,1.0,0.9241418199787566,2.1999999999999997,12,11,0,True
68,-1.3158581800212432,1.0,0.9241418199787566,1.4,8,7,0,True
69,-2.9158581800212433,1.0,0.9241418199787566,2.4,13,12,0,True
70,-2.2758581800212427,1.0,0.9241418199787566,1.9999999999999998,11,10,0,True
71,-1.635858180021243,1.0,0.9241418199787566,1.5999999999999999,9,8,0,True
72,-2.595858180021243,1.0,0.9241418199787566,2.1999999999999997,12,11,0,True
73,-1.9558581800212431,1.0,0.9241418199787566,1.7999999999999998,10,9,0,True
74,-2.2758581800212427,1.0,0.9241418199787566,1.9999999999999998,11,10,0,True
75,-1.9558581800212431,1.0,0.9241418199787566,1.7999999999999998,10,9,0,True
76,-2.2758581800212427,1.0,0.9241418199787566,1.9999999999999998,11,10,0,True
77,-1.635858180021243,1.0,0.9241418199787566,1.5999999999999999,9,8,0,True
78,-3.2358581800212436,1.0,0.9241418199787566,2.6,14,13,0,True
79,-3.2358581800212436,1.0,0.9241418199787566,2.6,14,13,0,True
80,-1.635858180021243,1.0,0.9241418199787566,1.5999999999999999,9,8,0,True
81,-1.3158581800212432,1.0,0.9241418199787566,1.4,8,7,0,True
82,-3.2358581800212436,1.0,0.9241418199787566,2.6,14,13,0,True
83,-2.2758581800212427,1.0,0.9241418199787566,1.9999999999999998,11,10,0,True
84,-3.555858180021244,1.0,0.9241418199787566,2.8000000000000003,15,14,0,True
85,-2.9158581800212433,1.0,0.9241418199787566,2.4,13,12,0,True
86,-1.9558581800212431,1.0,0.9241418199787566,1.7999999999999998,10,9,0,True
87,-1.9558581800212431,1.0,0.9241418199787566,1.7999999999999998,10,9,0,True
88,-1.9558581800212431,1.0,0.9241418199787566,1.7999999999999998,10,9,0,True
89,-1.635858180021243,1.0,0.9241418199787566,1.5999999999999999,9,8,0,True
90,-2.2758581800212427,1.0,0.9241418199787566,1.9999999999999998,11,10,0,True
91,-1.9558581800212431,1.0,0.9241418199787566,1.7999999999999998,10,9,0,True
92,-2.595858180021243,1.0,0.9241418199787566,2.1999999999999997,12,11,0,True
93,-2.9158581800212433,1.0,0.9241418199787566,2.4,13,12,0,True
94,-4.515858180021245,1.0,0.9241418199787566,3.400000000000001,18,17,0,True
95,-2.2758581800212427,1.0,0.9241418199787566,1.9999999999999998,11,10,0,True
96,-2.595858180021243,1.0,0.9241418199787566,2.1999999999999997,12,11,0,True
97,-2.595858180021243,1.0,0.9241418199787566,2.1999999999999997,12,11,0,True
98,-2.2758581800212427,1.0,0.9241418199787566,1.9999999999999998,11,10,0,True
99,-1.9558581800212431,1.0,0.9241418199787566,1.7999999999999998,10,9,0,True
